id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2025-08-16 01:27:39,[3],0.088,False,1325,11697,69,3,1.3.2,1001491,0.032628234
dcrhive.com,mainnet,2022-06-23,2025-08-16 01:27:39,[3],1,False,279,28778,213,1,1.3.2+bec2d12a0,1001491,0.0068703983
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2025-08-16 01:27:39,[3],0.9500000000000001,False,111,14454,97,320,1.3.2+bec2d12a0,1001491,0.0027333843000000003
decred.stake.fun,mainnet,2021-01-28,2025-08-16 01:27:39,[3],0.5,False,47,31471,193,46,1.3.1,1001491,0.0011573789
decredvoting.com,mainnet,2021-02-01,2025-08-16 01:27:39,[3],1,False,114,8036,52,1,1.3.2,1001491,0.0028072596
stakey.net,mainnet,2020-10-22,2025-08-16 01:27:39,[3],1,False,344,35538,271,0,1.3.2+f79363a87,1001491,0.008471029
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2025-08-16 01:27:39,[3],0.6900000000000001,False,948,323441,712,898,1.4.0-pre+b0fb5469c,1718109,0.20187393
teststakepool.decred.org,testnet,2020-06-01,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
ultravsp.uk,mainnet,2020-12-01,2025-08-16 01:27:39,[3],0.30000000000000004,False,241,18920,116,1,1.4.0-pre+015cf707b,1001491,0.0059346450000000005
vote.dcr-swiss.ch,mainnet,2023-06-30,2025-08-16 01:27:39,[3],0.18,False,1073,26512,156,1,1.3.2+bec2d12a0,1001491,0.026422715000000003
vsp.dcr.farm,mainnet,2020-12-09,2025-08-16 01:27:39,[3],0.5,False,207,15004,73,2,1.3.2,1001491,0.005097392
vsp.decredcommunity.org,mainnet,2020-11-05,2025-08-16 01:27:39,[3],0.49,False,761,20367,133,12,1.3.2+bec2d12a0,1001491,0.01873969
vsp.stakeminer.com,mainnet,2020-11-09,2025-08-16 01:27:39,[3],1,False,262,35065,226,0,1.3.2+81acb861c,1001491,0.0064517716000000004
vspd.99split.com,mainnet,2020-11-17,2025-08-16 01:27:39,[3],0.099,True,8,33917,216,104,1.3.2,1001491,0.00019700067
vspd.bass.cf,mainnet,2022-05-01,2025-08-16 01:27:39,[3],0.2,False,247,28657,166,79,1.3.2,1001491,0.0060823956
vspd.decredbrasil.com,mainnet,2020-11-22,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
