id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2025-07-18 01:32:51,[3],0.088,False,1229,10473,68,3,1.3.2,993159,0.03006507
dcrhive.com,mainnet,2022-06-23,2025-07-18 01:32:50,[3],1,False,283,28498,211,1,1.3.2+bec2d12a0,993158,0.0069221924
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2025-07-18 01:32:51,[3],0.9500000000000001,False,124,14350,97,320,1.3.2+bec2d12a0,993158,0.0030330454
decred.stake.fun,mainnet,2021-01-28,2025-07-18 01:32:50,[3],0.5,False,56,31421,192,46,1.3.1,993158,0.0013697625
decredvoting.com,mainnet,2021-02-01,2025-07-18 01:32:51,[3],1,False,230,7869,52,1,1.3.2,993159,0.0056264983
stakey.net,mainnet,2020-10-22,2025-07-18 01:32:50,[3],1,False,404,35226,271,0,1.3.2+f79363a87,993158,0.009881858
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2025-07-18 01:32:50,[3],0.6900000000000001,False,844,302738,665,897,1.4.0-pre+b0fb5469c,1697115,0.21057884000000002
teststakepool.decred.org,testnet,2020-06-01,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
ultravsp.uk,mainnet,2020-12-01,2025-07-18 01:32:50,[3],0.30000000000000004,False,272,18673,114,1,1.4.0-pre+015cf707b,993158,0.006653132000000001
vote.dcr-swiss.ch,mainnet,2023-06-30,2025-07-18 01:32:50,[3],0.18,False,1138,25356,148,1,1.3.2+bec2d12a0,993157,0.027838936
vsp.dcr.farm,mainnet,2020-12-09,2025-07-18 01:32:50,[3],0.5,False,392,14713,69,2,1.3.2,993159,0.00958951
vsp.decredcommunity.org,mainnet,2020-11-05,2025-07-18 01:32:50,[3],0.49,False,310,19804,128,12,1.3.2+bec2d12a0,993158,0.0075826137
vsp.stakeminer.com,mainnet,2020-11-09,2025-07-18 01:32:51,[3],1,False,211,34834,225,0,1.3.2+81acb861c,993158,0.0051610693000000004
vspd.99split.com,mainnet,2020-11-17,2025-07-18 01:32:51,[3],0.099,True,41,33889,211,104,1.3.2,993158,0.0010028618000000001
vspd.bass.cf,mainnet,2022-05-01,2025-07-18 00:37:03,[3],0.2,False,233,28436,165,79,1.3.2,993145,0.005698772
vspd.decredbrasil.com,mainnet,2020-11-22,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
