id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2025-11-07 01:28:53,[3],0.088,False,1330,15506,77,3,1.3.2,1025511,0.031379767
dcrhive.com,mainnet,2022-06-23,2025-11-07 01:28:53,[3],1,False,297,29519,224,1,1.3.2+bec2d12a0,1025511,0.0070073614
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2025-11-07 01:28:53,[3],0.9500000000000001,False,110,14761,99,320,1.3.2+bec2d12a0,1025511,0.002595319
decred.stake.fun,mainnet,2021-01-28,2025-11-07 01:28:53,[3],0.5,False,81,31641,194,46,1.3.1,1025511,0.0019110985000000001
decredvoting.com,mainnet,2021-02-01,2025-11-07 01:28:53,[3],1,False,344,8920,61,1,1.3.2,1025511,0.00811627
stakey.net,mainnet,2020-10-22,2025-11-07 01:28:52,[3],1,False,183,36220,275,4,1.3.2+f79363a87,1025511,0.004317667
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2025-11-07 01:28:53,[3],0.6900000000000001,False,683,370089,830,1063,1.4.0-pre+5263bfc2e,1777885,0.123174034
teststakepool.decred.org,testnet,2020-06-01,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
ultravsp.uk,mainnet,2020-12-01,2025-11-07 01:28:53,[3],0.30000000000000004,False,324,19905,120,3,1.4.0-pre+015cf707b,1024726,0.007836687
vote.dcr-swiss.ch,mainnet,2023-06-30,2025-11-07 01:28:53,[3],0.18,False,1093,29338,183,1,1.3.2+bec2d12a0,1025511,0.025788033000000002
vsp.dcr.farm,mainnet,2020-12-09,2025-11-07 01:28:53,[3],0.5,False,124,15854,90,2,1.3.2,1025511,0.0029256323
vsp.decredcommunity.org,mainnet,2020-11-05,2025-11-07 01:28:53,[3],0.49,False,435,21961,140,12,1.3.2+bec2d12a0,1025511,0.010263307000000001
vsp.stakeminer.com,mainnet,2020-11-09,2025-11-07 01:28:53,[3],1,False,239,35801,233,0,1.3.2+81acb861c,1025511,0.0056389202000000005
vspd.99split.com,mainnet,2020-11-17,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
vspd.bass.cf,mainnet,2022-05-01,2025-11-07 01:28:53,[3],0.16,False,514,29483,174,79,1.3.2,1025511,0.012127218
vspd.decredbrasil.com,mainnet,2020-11-22,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
