id,network,launched,lastupdated,apiversions,feepercentage,closed,voting,voted,expired,missed,vspdversion,blockheight,estimatednetworkproportion
big.decred.energy,mainnet,2022-05-01,2025-11-06 01:30:41,[3],0.088,False,1356,15454,77,3,1.3.2,1025242,0.032135747
dcrhive.com,mainnet,2022-06-23,2025-11-06 01:30:41,[3],1,False,297,29511,224,1,1.3.2+bec2d12a0,1025242,0.0070385817
dcrvsp.ubiqsmart.com,mainnet,2020-12-25,2025-11-06 01:30:41,[3],0.9500000000000001,False,108,14759,99,320,1.3.2+bec2d12a0,1025242,0.0025594842
decred.stake.fun,mainnet,2021-01-28,2025-11-06 01:30:41,[3],0.5,False,82,31640,194,46,1.3.1,1025242,0.0019433121
decredvoting.com,mainnet,2021-02-01,2025-11-06 01:30:41,[3],1,False,341,8910,61,1,1.3.2,1025242,0.008081335
stakey.net,mainnet,2020-10-22,2025-11-06 01:30:41,[3],1,False,184,36213,275,4,1.3.2+f79363a87,1025242,0.0043606027000000006
testnet-vsp.jholdstock.uk,testnet,2021-01-20,2025-11-06 01:30:41,[3],0.6900000000000001,False,671,369609,830,1063,1.4.0-pre+5263bfc2e,1777162,0.13326713
teststakepool.decred.org,testnet,2020-06-01,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
ultravsp.uk,mainnet,2020-12-01,2025-11-06 01:30:41,[3],0.30000000000000004,False,324,19905,120,3,1.4.0-pre+015cf707b,1024726,0.007836687
vote.dcr-swiss.ch,mainnet,2023-06-30,2025-11-06 01:30:41,[3],0.18,False,1097,29306,183,1,1.3.2+bec2d12a0,1025242,0.025997724000000003
vsp.dcr.farm,mainnet,2020-12-09,2025-11-06 01:30:41,[3],0.5,False,129,15848,90,2,1.3.2,1025242,0.0030571618
vsp.decredcommunity.org,mainnet,2020-11-05,2025-11-06 01:30:41,[3],0.49,False,447,21945,140,12,1.3.2+bec2d12a0,1025242,0.010593421
vsp.stakeminer.com,mainnet,2020-11-09,2025-11-06 01:30:41,[3],1,False,246,35792,232,0,1.3.2+81acb861c,1025242,0.0058299364
vspd.99split.com,mainnet,2020-11-17,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
vspd.bass.cf,mainnet,2022-05-01,2025-11-06 01:30:41,[3],0.16,False,531,29465,174,79,1.3.2,1025242,0.012584131
vspd.decredbrasil.com,mainnet,2020-11-22,1970-01-01 00:00:00,,0,False,0,0,0,0,,0,0
